0.07	 0.5427044224405 0.558604913278215 0.587955073330692 0.59430831078646 0.600427454957785 0.636702191123577 0.637628068703317 0.639576077109024 0.683725934759907 0.732054995156072 0.735589188361848 0.769162865031102 0.776099135466009 0.795001583299593 0.826106201513123 0.852618941958402

0.075	 0.539758754817083 0.55621555740945 0.573802684926258 0.588105659633889 0.594487480848292 0.600742711082174 0.636019979266375 0.639859672837024 0.685062541271377 0.735402709153661 0.738829103802011 0.766237208323705 0.774503662373529 0.793479682056626 0.827815551065816 0.854252927210994

0.08	 0.0549447135093987 0.537343118013312 0.553805396526077 0.574003043300254 0.58825757749221 0.594678047770532 0.60105015431865 0.630039738648369 0.632583941351233 0.636310509485532 0.642099899442702 0.687529060353744 0.738776642346787 0.741121324432916 0.765629718968643 0.772904494635175 0.791937964760334 0.829535745682162 0.855926527403957

0.085	 0.534983986622772 0.551376872117994 0.574237889686227 0.588477333110106 0.594879888079811 0.601352905001204 0.624800821967861 0.628630129240851 0.644357765063211 0.688517884672294 0.742018140530019 0.763211222320764 0.771303470239905 0.790379034875149 0.831265388382247 0.857620301027907

0.09	 0.0616677225550588 0.532208422798769 0.548931880805683 0.57444156178403 0.58860453405445 0.595093903501375 0.601653128943476 0.62317914190038 0.626014668589092 0.646635336458573 0.687151584769102 0.745412223568573 0.74728922986276 0.761370144066149 0.769701617798754 0.788806200020177 0.828035201399791 0.833002681338953 0.859328953550075

0.095	 0.065064997719815 0.529679747714381 0.546472148216733 0.574683126927046 0.588773739906529 0.595318840427755 0.60195274091135 0.619950064995546 0.62098188833808 0.648926537872114 0.687558099316074 0.690455596591953 0.748729665266114 0.750876146021774 0.758536722399393 0.768098058358811 0.787224782770716 0.830238783330065 0.834747617121934 0.861057544802919

0.1	 0.543998998238053 0.588954920636538 0.595554960990673 0.602252775890672 0.616405110607694 0.618057817399857 0.651230964366287 0.687748842549626 0.751953628151338 0.754838548256324 0.766496719993266 0.785635510435536 0.832491111741547 0.836499294635089 0.86278910671142

0.105	 0.0718644455195316 0.524585514714152 0.541513658310907 0.575196426410078 0.589118870073612 0.595802008902202 0.602553454902116 0.613007043002842 0.614656657022617 0.65354605492784 0.688278109953828 0.691249758345528 0.755316783479328 0.757888221782803 0.76488762892719 0.784039768163219 0.83411751310705 0.838257639705978 0.864554974148066

0.11	 0.0752904432695047 0.522235000966978 0.539017037990938 0.575452694880089 0.589275671216931 0.596059337243728 0.602853430815665 0.609588452824202 0.611386737787029 0.655870096228205 0.690657161562943 0.758581826928638 0.761101392002723 0.763266844366052 0.782446634828533 0.840020107266894 0.866292048205631

0.115	 0.536510057013155 0.575745310510225 0.589485483680754 0.596325458537827 0.603146004837519 0.607773575294544 0.658201268016944 0.690749931696367 0.761741742537117 0.761890294916482 0.780843957592765 0.838090451183023 0.841791248413293 0.868100514894333

0.12	 0.517062738375507 0.533993402465655 0.576037195130318 0.589594655994552 0.596598647659981 0.602741899793568 0.603433792535926 0.605357113425442 0.660538218433261 0.692023950327278 0.750754857313109 0.760243160324629 0.764906830808747 0.774245009912065 0.779212814550072 0.839822799145594 0.843564858261083 0.869888551962746

0.125	 0.0855050174210347 0.51443748530579 0.531467696689286 0.576364369824426 0.589794000804846 0.596869465254262 0.60264935098536 0.603782374755836 0.662879393459891 0.689844180791545 0.694000507251341 0.758608119564392 0.768276976618761 0.772062665945276 0.777613327907332 0.84534196890738 0.871676911519645

0.13	 0.088893792582229 0.511754095777012 0.528933490955709 0.576692220897519 0.589843850307698 0.596691417429824 0.597107028141825 0.60415123173566 0.665223716643162 0.690378928464866 0.691972332622951 0.757006542755165 0.771956637108012 0.776120589930796 0.847124594688607 0.87349487993325

0.135	 0.0922973031825843 0.509159735666384 0.526391233738672 0.577044947087627 0.58979419541533 0.59744721885777 0.604543039817032 0.667569841551763 0.69075672699989 0.6942112667963 0.75541019235971 0.77422445606523 0.775478062168119 0.775616292183713 0.845977738354444 0.848912580313163 0.875272563502053

0.14	 0.0956901383775304 0.523841340455732 0.577376528394205 0.588974240676237 0.597821781450405 0.604937628399513 0.669916549415427 0.691223558241209 0.75382527441471 0.772717473050344 0.777426530423284 0.778918106876511 0.850697899696914 0.877034461149422

0.145	 0.0990828562620475 0.504048958576937 0.521284158968655 0.577744158724588 0.588859558985784 0.598186609232746 0.605338106971954 0.672262659211563 0.691829246521739 0.694422627990396 0.742018741828395 0.752244566355605 0.771155937899358 0.780533417087863 0.782199268326954 0.849887580154236 0.852495059949508 0.878674586454993 0.896375691082669

0.15	 0.102481679714992 0.501474798575699 0.518719996417516 0.578108456608065 0.582451402887801 0.584910232452357 0.590617044812086 0.598569902390922 0.60574908184865 0.674606907394492 0.692333000849375 0.694929167282845 0.740327988299951 0.750669077447285 0.769585519620289 0.78361846343872 0.785496650010092 0.851969973411601 0.854287657555409 0.879865364443727 0.893053987201767

0.155	 0.105863358885705 0.516149128694056 0.578405200289584 0.581019154461265 0.591055809828912 0.598959610070227 0.606167623352169 0.67694794384279 0.692798128673403 0.69609251291111 0.749098813801782 0.768012285041072 0.786666116684164 0.790367865175 0.854486989512463 0.856080175866307 0.880620898088989 0.893403977353639

